timestamp	datetime	country	TotalCases	TotalDeaths	TotalRecovered	TotalActive	TotalSerious
20200306224331	2020-03-06 22:43:31	Peru	1	0	0	1	0
20200307225610	2020-03-07 22:56:10	Peru	1	0	0	1	0
20200308232251	2020-03-08 23:22:51	Peru	6	0	0	6	0
20200309234747	2020-03-09 23:47:47	Peru	9	0	0	9	0
20200310233243	2020-03-10 23:32:43	Peru	11	0	0	11	0
20200311234701	2020-03-11 23:47:01	Peru	13	0	0	13	0
20200312233926	2020-03-12 23:39:26	Peru	22	0	0	22	0
20200313235940	2020-03-13 23:59:40	Peru	28	0	0	28	0
20200314235906	2020-03-14 23:59:06	Peru	38	0	0	38	0
20200315231920	2020-03-15 23:19:20	Peru	71	0	0	71	0
20200316232604	2020-03-16 23:26:04	Peru	86	0	1	85	8
20200317234753	2020-03-17 23:47:53	Peru	117	0	1	116	8
20200318234401	2020-03-18 23:44:01	Peru	117	0	1	116	8
20200319131523	2020-03-19 13:15:23	Peru	145	0	1	144	8
20200320120009	2020-03-20 12:00:09	Peru	234	1	1	232	7
20200321120003	2020-03-21 12:00:03	Peru	263	4	1	258	5
20200322120004	2020-03-22 12:00:04	Peru	318	5	1	312	5
20200323120003	2020-03-23 12:00:03	Peru	363	5	1	357	5
20200324120004	2020-03-24 12:00:04	Peru	395	5	1	389	19
20200325120004	2020-03-25 12:00:04	Peru	416	7	1	408	9
20200326120004	2020-03-26 12:00:04	Peru	480	9	1	470	9
20200327120003	2020-03-27 12:00:03	Peru	580	9	14	557	14
20200328000003	2020-03-28 00:00:03	Peru	580	9	14	557	14
20200330165358	2020-03-30 16:53:58	Peru	852	18	16	818	40
