timestamp	datetime	country	TotalCases	TotalDeaths	TotalRecovered	TotalActive	TotalSerious
20200304230748	2020-03-04 23:07:48	Poland	1	0	0	1	0
20200305224916	2020-03-05 22:49:16	Poland	1	0	0	1	0
20200306224331	2020-03-06 22:43:31	Poland	5	0	0	5	0
20200307225610	2020-03-07 22:56:10	Poland	6	0	0	6	0
20200308232251	2020-03-08 23:22:51	Poland	11	0	0	11	1
20200309234747	2020-03-09 23:47:47	Poland	17	0	0	17	2
20200310233243	2020-03-10 23:32:43	Poland	22	0	0	22	2
20200311234701	2020-03-11 23:47:01	Poland	31	0	0	31	3
20200312233926	2020-03-12 23:39:26	Poland	51	1	0	50	3
20200313235940	2020-03-13 23:59:40	Poland	68	2	0	66	3
20200314235906	2020-03-14 23:59:06	Poland	103	3	13	87	3
20200315231920	2020-03-15 23:19:20	Poland	125	3	13	109	3
20200316232604	2020-03-16 23:26:04	Poland	177	4	0	173	3
20200317234753	2020-03-17 23:47:53	Poland	238	5	1	232	3
20200318234401	2020-03-18 23:44:01	Poland	238	5	1	232	3
20200319131523	2020-03-19 13:15:23	Poland	287	5	13	269	3
20200320120009	2020-03-20 12:00:09	Poland	355	5	13	337	3
20200321120003	2020-03-21 12:00:03	Poland	425	5	13	407	3
20200322120004	2020-03-22 12:00:04	Poland	536	5	13	518	3
20200323120003	2020-03-23 12:00:03	Poland	634	7	13	614	3
20200324120004	2020-03-24 12:00:04	Poland	749	8	13	728	3
20200325120004	2020-03-25 12:00:04	Poland	901	10	1	890	3
20200326120004	2020-03-26 12:00:04	Poland	1051	14	7	1030	3
20200327120003	2020-03-27 12:00:03	Poland	1221	16	7	1198	3
20200328000003	2020-03-28 00:00:03	Poland	1221	16	7	1198	3
20200330165358	2020-03-30 16:53:58	Poland	1862	22	7	1833	3
20200331120003	2020-03-31 12:00:03	Poland	2055	31	7	2017	3
20200401120003	2020-04-01 12:00:03	Poland	2311	33	7	2271	50
20200402120004	2020-04-02 12:00:04	Poland	2554	43	56	2455	50
20200403120003	2020-04-03 12:00:03	Poland	2946	57	56	2833	50
20200404120004	2020-04-04 12:00:04	Poland	3383	71	56	3256	50
20200405120003	2020-04-05 12:00:03	Poland	3627	79	116	3432	50
20200406120003	2020-04-06 12:00:03	Poland	4102	94	134	3874	50
