timestamp	datetime	country	TotalCases	TotalDeaths	TotalRecovered	TotalActive	TotalSerious
20200229235144	2020-02-29 23:51:44	Qatar	1	0	0	1	0
20200301234648	2020-03-01 23:46:48	Qatar	3	0	0	3	0
20200302224751	2020-03-02 22:47:51	Qatar	7	0	0	7	0
20200303231332	2020-03-03 23:13:32	Qatar	8	0	0	8	0
20200304230748	2020-03-04 23:07:48	Qatar	8	0	0	8	0
20200305224916	2020-03-05 22:49:16	Qatar	8	0	0	8	0
20200306224331	2020-03-06 22:43:31	Qatar	11	0	0	11	0
20200307225610	2020-03-07 22:56:10	Qatar	12	0	0	12	0
20200308232251	2020-03-08 23:22:51	Qatar	15	0	0	15	0
20200309234747	2020-03-09 23:47:47	Qatar	18	0	0	18	0
20200310233243	2020-03-10 23:32:43	Qatar	24	0	0	24	0
20200311234701	2020-03-11 23:47:01	Qatar	262	0	0	262	0
20200312233926	2020-03-12 23:39:26	Qatar	262	0	0	262	0
20200313235940	2020-03-13 23:59:40	Qatar	320	0	0	320	0
20200314235906	2020-03-14 23:59:06	Qatar	337	0	4	333	0
20200315231920	2020-03-15 23:19:20	Qatar	401	0	4	397	0
20200316232604	2020-03-16 23:26:04	Qatar	439	0	4	435	0
20200317234753	2020-03-17 23:47:53	Qatar	442	0	4	438	0
20200318234401	2020-03-18 23:44:01	Qatar	442	0	4	438	0
20200319131523	2020-03-19 13:15:23	Qatar	452	0	4	448	0
20200320120009	2020-03-20 12:00:09	Qatar	460	0	10	450	6
20200321120003	2020-03-21 12:00:03	Qatar	470	0	10	460	6
20200322120004	2020-03-22 12:00:04	Qatar	481	0	27	454	6
