timestamp	datetime	country	TotalCases	TotalDeaths	TotalRecovered	TotalActive	TotalSerious
20200226234848	2020-02-26 23:48:48	Romania	1	0	0		0
20200227234720	2020-02-27 23:47:20	Romania	1	0	0		0
20200228231028	2020-02-28 23:10:28	Romania	3	0	1		0
20200229235144	2020-02-29 23:51:44	Romania	3	0	1	2	0
20200301234648	2020-03-01 23:46:48	Romania	3	0	1	2	0
20200302224751	2020-03-02 22:47:51	Romania	3	0	1	2	0
20200303231332	2020-03-03 23:13:32	Romania	4	0	1	3	0
20200304230748	2020-03-04 23:07:48	Romania	6	0	1	5	0
20200305224916	2020-03-05 22:49:16	Romania	6	0	1	5	0
20200306224331	2020-03-06 22:43:31	Romania	9	0	3	6	0
20200307225610	2020-03-07 22:56:10	Romania	13	0	3	10	0
20200308232251	2020-03-08 23:22:51	Romania	15	0	5	10	0
20200309234747	2020-03-09 23:47:47	Romania	17	0	5	12	0
20200310233243	2020-03-10 23:32:43	Romania	29	0	5	24	0
20200311234701	2020-03-11 23:47:01	Romania	47	0	6	41	0
20200312233926	2020-03-12 23:39:26	Romania	59	0	6	53	1
20200313235940	2020-03-13 23:59:40	Romania	89	0	7	82	1
20200314235906	2020-03-14 23:59:06	Romania	123	0	9	114	1
20200315231920	2020-03-15 23:19:20	Romania	139	0	9	130	1
20200316232604	2020-03-16 23:26:04	Romania	168	0	9	159	2
20200317234753	2020-03-17 23:47:53	Romania	217	0	19	198	5
20200318234401	2020-03-18 23:44:01	Romania	217	0	19	198	5
20200319131523	2020-03-19 13:15:23	Romania	260	0	19	241	5
20200320120009	2020-03-20 12:00:09	Romania	277	0	25	252	5
20200321120003	2020-03-21 12:00:03	Romania	308	0	31	277	11
20200322120004	2020-03-22 12:00:04	Romania	367	0	52	315	14
20200323120003	2020-03-23 12:00:03	Romania	433	3	64	366	14
20200324120004	2020-03-24 12:00:04	Romania	576	7	73	496	15
20200325120004	2020-03-25 12:00:04	Romania	794	12	79	703	15
20200326120004	2020-03-26 12:00:04	Romania	906	17	86	803	18
20200327120003	2020-03-27 12:00:03	Romania	1029	23	94	912	29
20200328000003	2020-03-28 00:00:03	Romania	1029	23	94	912	29
20200330165358	2020-03-30 16:53:58	Romania	1815	43	206	1566	31
