timestamp	datetime	country	TotalCases	TotalDeaths	TotalRecovered	TotalActive	TotalSerious
20200314235906	2020-03-14 23:59:06	Rwanda	1	0	0	1	0
20200315231920	2020-03-15 23:19:20	Rwanda	5	0	0	5	0
20200316232604	2020-03-16 23:26:04	Rwanda	5	0	0	5	0
20200317234753	2020-03-17 23:47:53	Rwanda	7	0	0	7	0
20200318234401	2020-03-18 23:44:01	Rwanda	7	0	0	7	0
20200319131523	2020-03-19 13:15:23	Rwanda	11	0	0	11	0
20200320120009	2020-03-20 12:00:09	Rwanda	11	0	0	11	0
20200321120003	2020-03-21 12:00:03	Rwanda	17	0	0	17	0
20200322120004	2020-03-22 12:00:04	Rwanda	17	0	0	17	0
20200323120003	2020-03-23 12:00:03	Rwanda	19	0	0	19	0
20200324120004	2020-03-24 12:00:04	Rwanda	36	0	0	36	0
