timestamp	datetime	country	TotalCases	TotalDeaths	TotalRecovered	TotalActive	TotalSerious
20200311234701	2020-03-11 23:47:01	Réunion	1	0	0	1	0
20200312233926	2020-03-12 23:39:26	Réunion	4	0	0	4	0
20200313235940	2020-03-13 23:59:40	Réunion	5	0	0	5	0
20200314235906	2020-03-14 23:59:06	Réunion	6	0	0	6	0
20200315231920	2020-03-15 23:19:20	Réunion	7	0	0	7	0
20200316232604	2020-03-16 23:26:04	Réunion	9	0	0	9	0
20200317234753	2020-03-17 23:47:53	Réunion	9	0	0	9	0
20200318234401	2020-03-18 23:44:01	Réunion	9	0	0	9	0
20200319131523	2020-03-19 13:15:23	Réunion	14	0	0	14	0
20200320120009	2020-03-20 12:00:09	Réunion	28	0	0	28	0
20200321120003	2020-03-21 12:00:03	Réunion	38	0	0	38	0
20200322120004	2020-03-22 12:00:04	Réunion	47	0	0	47	0
