timestamp	datetime	country	TotalCases	TotalDeaths	TotalRecovered	TotalActive	TotalSerious
20200204230701	2020-02-04 23:07:01	S. Korea	16	0	0		0
20200205184441	2020-02-05 18:44:41	S. Korea	19	0	1		0
20200206231855	2020-02-06 23:18:55	S. Korea	23	0	1		0
20200207180939	2020-02-07 18:09:39	S. Korea	24	0	2		0
20200208224247	2020-02-08 22:42:47	S. Korea	24	0	2		0
20200210194000	2020-02-10 19:40:00	S. Korea	27	0	3		0
20200211210512	2020-02-11 21:05:12	S. Korea	28	0	4		0
20200212102815	2020-02-12 10:28:15	S. Korea	28	0	4		0
20200213195411	2020-02-13 19:54:11	S. Korea	28	0	7		0
20200214232753	2020-02-14 23:27:53	S. Korea	28	0	7		0
20200215063649	2020-02-15 06:36:49	S. Korea	28	0	9		0
20200216230426	2020-02-16 23:04:26	S. Korea	29	0	9		0
20200217113920	2020-02-17 11:39:20	S. Korea	30	0	10		0
20200218164329	2020-02-18 16:43:29	S. Korea	31	0	12		0
20200219180116	2020-02-19 18:01:16	S. Korea	51	0	16		0
20200220220812	2020-02-20 22:08:12	S. Korea	104	1	16		0
20200221233317	2020-02-21 23:33:17	S. Korea	205	2	17		0
20200222234612	2020-02-22 23:46:12	S. Korea	433	2	18		9
20200223235611	2020-02-23 23:56:11	S. Korea	602	6	18		7
20200224234216	2020-02-24 23:42:16	S. Korea	833	8	22		6
20200225235434	2020-02-25 23:54:34	S. Korea	977	11	22		6
20200226234848	2020-02-26 23:48:48	S. Korea	1261	12	24		18
20200227234720	2020-02-27 23:47:20	S. Korea	1766	13	24		18
20200228231028	2020-02-28 23:10:28	S. Korea	2337	16	24		7
20200229235144	2020-02-29 23:51:44	S. Korea	3150	17	24	3109	10
20200301234648	2020-03-01 23:46:48	S. Korea	3736	21	30	3685	10
20200302224751	2020-03-02 22:47:51	S. Korea	4335	28	30	4277	27
20200303231332	2020-03-03 23:13:32	S. Korea	5186	34	34	5118	27
20200304230748	2020-03-04 23:07:48	S. Korea	5621	35	41	5545	52
20200305224916	2020-03-05 22:49:16	S. Korea	6088	40	135	5913	52
20200306224331	2020-03-06 22:43:31	S. Korea	6593	43	135	6415	52
20200307225610	2020-03-07 22:56:10	S. Korea	7041	48	118	6875	36
20200308232251	2020-03-08 23:22:51	S. Korea	7313	50	130	7133	36
20200309234747	2020-03-09 23:47:47	S. Korea	7478	53	166	7259	36
20200310233243	2020-03-10 23:32:43	S. Korea	7513	58	247	7208	54
20200311234701	2020-03-11 23:47:01	S. Korea	7755	60	288	7407	54
20200312233926	2020-03-12 23:39:26	S. Korea	7869	66	333	7470	93
20200313235940	2020-03-13 23:59:40	S. Korea	7979	71	510	7398	93
20200314235906	2020-03-14 23:59:06	S. Korea	8086	72	714	7300	59
20200315231920	2020-03-15 23:19:20	S. Korea	8162	75	834	7253	59
20200316232604	2020-03-16 23:26:04	S. Korea	8236	75	1137	7024	59
20200317234753	2020-03-17 23:47:53	S. Korea	8320	81	1401	6838	59
20200318234401	2020-03-18 23:44:01	S. Korea	8320	81	1401	6838	59
20200319131523	2020-03-19 13:15:23	S. Korea	8413	84	1540	6789	59
