timestamp	datetime	country	TotalCases	TotalDeaths	TotalRecovered	TotalActive	TotalSerious
20200227234720	2020-02-27 23:47:20	San Marino	1	0	0		0
20200228231028	2020-02-28 23:10:28	San Marino	1	0	0		0
20200229235144	2020-02-29 23:51:44	San Marino	1	0	0	1	1
20200301234648	2020-03-01 23:46:48	San Marino	1	0	0	1	1
20200302224751	2020-03-02 22:47:51	San Marino	8	1	0	7	1
20200303231332	2020-03-03 23:13:32	San Marino	10	1	0	9	1
20200304230748	2020-03-04 23:07:48	San Marino	16	1	0	15	3
20200305224916	2020-03-05 22:49:16	San Marino	21	1	0	20	3
20200306224331	2020-03-06 22:43:31	San Marino	23	1	0	22	4
20200307225610	2020-03-07 22:56:10	San Marino	23	1	0	22	4
20200308232251	2020-03-08 23:22:51	San Marino	36	1	0	35	5
20200309234747	2020-03-09 23:47:47	San Marino	51	2	0	49	5
20200310233243	2020-03-10 23:32:43	San Marino	62	2	0	60	5
20200311234701	2020-03-11 23:47:01	San Marino	62	2	0	60	5
20200312233926	2020-03-12 23:39:26	San Marino	72	5	0	67	3
20200313235940	2020-03-13 23:59:40	San Marino	80	5	2	73	3
20200314235906	2020-03-14 23:59:06	San Marino	101	5	4	92	3
20200315231920	2020-03-15 23:19:20	San Marino	109	7	4	98	11
20200316232604	2020-03-16 23:26:04	San Marino	109	7	4	98	11
20200317234753	2020-03-17 23:47:53	San Marino	119	11	4	104	11
20200318234401	2020-03-18 23:44:01	San Marino	119	11	4	104	11
20200319131523	2020-03-19 13:15:23	San Marino	140	14	4	122	11
20200320120009	2020-03-20 12:00:09	San Marino	144	14	4	126	12
20200321120003	2020-03-21 12:00:03	San Marino	151	14	4	133	12
20200322120004	2020-03-22 12:00:04	San Marino	160	20	4	136	12
