timestamp	datetime	country	TotalCases	TotalDeaths	TotalRecovered	TotalActive	TotalSerious
20200306224331	2020-03-06 22:43:31	Serbia	1	0	0	1	0
20200307225610	2020-03-07 22:56:10	Serbia	1	0	0	1	0
20200308232251	2020-03-08 23:22:51	Serbia	1	0	0	1	0
20200309234747	2020-03-09 23:47:47	Serbia	2	0	0	2	0
20200310233243	2020-03-10 23:32:43	Serbia	5	0	0	5	0
20200311234701	2020-03-11 23:47:01	Serbia	12	0	0	12	0
20200312233926	2020-03-12 23:39:26	Serbia	24	0	0	24	0
20200313235940	2020-03-13 23:59:40	Serbia	35	0	0	35	1
20200314235906	2020-03-14 23:59:06	Serbia	46	0	0	46	1
20200315231920	2020-03-15 23:19:20	Serbia	48	0	1	47	1
20200316232604	2020-03-16 23:26:04	Serbia	57	0	1	56	2
20200317234753	2020-03-17 23:47:53	Serbia	72	0	1	71	4
20200318234401	2020-03-18 23:44:01	Serbia	72	0	1	71	4
20200319131523	2020-03-19 13:15:23	Serbia	89	0	1	88	4
20200320120009	2020-03-20 12:00:09	Serbia	103	0	1	102	4
20200321120003	2020-03-21 12:00:03	Serbia	135	1	2	132	4
20200322120004	2020-03-22 12:00:04	Serbia	171	1	2	168	4
20200323120003	2020-03-23 12:00:03	Serbia	222	2	2	218	4
20200324120004	2020-03-24 12:00:04	Serbia	249	3	3	243	12
20200325120004	2020-03-25 12:00:04	Serbia	303	3	15	285	21
20200326120004	2020-03-26 12:00:04	Serbia	384	4	15	365	21
20200327120003	2020-03-27 12:00:03	Serbia	457	7	15	435	21
20200328000003	2020-03-28 00:00:03	Serbia	457	7	15	435	21
20200330165358	2020-03-30 16:53:58	Serbia	741	13	42	686	25
20200331120003	2020-03-31 12:00:03	Serbia	785	16	42	727	62
20200401120003	2020-04-01 12:00:03	Serbia	900	23	42	835	62
20200402120004	2020-04-02 12:00:04	Serbia	1060	28	42	990	62
