timestamp	datetime	country	TotalCases	TotalDeaths	TotalRecovered	TotalActive	TotalSerious
20200129195657	2020-01-29 19:56:57	Singapore	10	0			
20200130193726	2020-01-30 19:37:26	Singapore	13	0			
20200131214927	2020-01-31 21:49:27	Singapore	16	0			
20200201155449	2020-02-01 15:54:49	Singapore	18	0			
20200202162745	2020-02-02 16:27:45	Singapore	18	0			
20200203164423	2020-02-03 16:44:23	Singapore	18	0	0		0
20200204230701	2020-02-04 23:07:01	Singapore	24	0	1		0
20200205184441	2020-02-05 18:44:41	Singapore	28	0	1		0
20200206231855	2020-02-06 23:18:55	Singapore	30	0	1		0
20200207180939	2020-02-07 18:09:39	Singapore	33	0	2		1
20200208224247	2020-02-08 22:42:47	Singapore	40	0	2		1
20200210194000	2020-02-10 19:40:00	Singapore	45	0	7		7
20200211210512	2020-02-11 21:05:12	Singapore	47	0	9		7
20200212102815	2020-02-12 10:28:15	Singapore	47	0	9		7
20200213195411	2020-02-13 19:54:11	Singapore	58	0	15		8
20200214232753	2020-02-14 23:27:53	Singapore	67	0	17		8
20200215063649	2020-02-15 06:36:49	Singapore	67	0	17		8
20200216230426	2020-02-16 23:04:26	Singapore	75	0	19		5
20200217113920	2020-02-17 11:39:20	Singapore	75	0	19		5
20200218164329	2020-02-18 16:43:29	Singapore	81	0	29		4
20200219180116	2020-02-19 18:01:16	Singapore	84	0	34		4
20200220220812	2020-02-20 22:08:12	Singapore	85	0	37		4
20200221233317	2020-02-21 23:33:17	Singapore	86	0	47		5
20200222234612	2020-02-22 23:46:12	Singapore	89	0	49		5
20200223235611	2020-02-23 23:56:11	Singapore	89	0	51		5
20200224234216	2020-02-24 23:42:16	Singapore	90	0	49		7
20200225235434	2020-02-25 23:54:34	Singapore	91	0	58		7
20200226234848	2020-02-26 23:48:48	Singapore	93	0	62		7
20200227234720	2020-02-27 23:47:20	Singapore	96	0	66		8
20200228231028	2020-02-28 23:10:28	Singapore	96	0	69		8
20200229235144	2020-02-29 23:51:44	Singapore	102	0	72	30	7
20200301234648	2020-03-01 23:46:48	Singapore	106	0	74	32	7
20200302224751	2020-03-02 22:47:51	Singapore	108	0	78	30	6
20200303231332	2020-03-03 23:13:32	Singapore	110	0	78	32	7
20200304230748	2020-03-04 23:07:48	Singapore	110	0	78	32	7
20200305224916	2020-03-05 22:49:16	Singapore	117	0	81	36	7
20200306224331	2020-03-06 22:43:31	Singapore	130	0	82	48	9
20200307225610	2020-03-07 22:56:10	Singapore	138	0	90	48	8
20200308232251	2020-03-08 23:22:51	Singapore	150	0	90	60	9
20200309234747	2020-03-09 23:47:47	Singapore	160	0	93	67	10
20200310233243	2020-03-10 23:32:43	Singapore	166	0	93	73	10
20200311234701	2020-03-11 23:47:01	Singapore	178	0	96	82	12
20200312233926	2020-03-12 23:39:26	Singapore	187	0	96	91	12
20200313235940	2020-03-13 23:59:40	Singapore	200	0	97	103	11
20200314235906	2020-03-14 23:59:06	Singapore	212	0	105	107	11
20200315231920	2020-03-15 23:19:20	Singapore	226	0	105	121	11
20200316232604	2020-03-16 23:26:04	Singapore	243	0	109	134	11
20200317234753	2020-03-17 23:47:53	Singapore	266	0	114	152	14
20200318234401	2020-03-18 23:44:01	Singapore	266	0	114	152	14
20200319131523	2020-03-19 13:15:23	Singapore	313	0	117	196	14
20200320120009	2020-03-20 12:00:09	Singapore	345	0	124	221	14
20200321120003	2020-03-21 12:00:03	Singapore	385	0	131	254	14
20200322120004	2020-03-22 12:00:04	Singapore	432	2	140	290	14
20200323120003	2020-03-23 12:00:03	Singapore	455	2	144	309	14
20200324120004	2020-03-24 12:00:04	Singapore	509	2	152	355	14
