timestamp	datetime	country	TotalCases	TotalDeaths	TotalRecovered	TotalActive	TotalSerious
20200306224331	2020-03-06 22:43:31	Slovakia	1	0	0	1	0
20200307225610	2020-03-07 22:56:10	Slovakia	3	0	0	3	0
20200308232251	2020-03-08 23:22:51	Slovakia	5	0	0	5	0
20200309234747	2020-03-09 23:47:47	Slovakia	7	0	0	7	0
20200310233243	2020-03-10 23:32:43	Slovakia	7	0	0	7	0
20200311234701	2020-03-11 23:47:01	Slovakia	10	0	0	10	0
20200312233926	2020-03-12 23:39:26	Slovakia	21	0	0	21	0
20200313235940	2020-03-13 23:59:40	Slovakia	32	0	0	32	0
20200314235906	2020-03-14 23:59:06	Slovakia	44	0	0	44	0
20200315231920	2020-03-15 23:19:20	Slovakia	61	0	0	61	0
20200316232604	2020-03-16 23:26:04	Slovakia	72	0	0	72	0
20200317234753	2020-03-17 23:47:53	Slovakia	97	0	0	97	2
20200318234401	2020-03-18 23:44:01	Slovakia	97	0	0	97	2
20200319131523	2020-03-19 13:15:23	Slovakia	105	0	0	105	2
