timestamp	datetime	country	TotalCases	TotalDeaths	TotalRecovered	TotalActive	TotalSerious
20200304230748	2020-03-04 23:07:48	Slovenia	1	0	0	1	0
20200305224916	2020-03-05 22:49:16	Slovenia	6	0	0	6	0
20200306224331	2020-03-06 22:43:31	Slovenia	8	0	0	8	0
20200307225610	2020-03-07 22:56:10	Slovenia	12	0	0	12	0
20200308232251	2020-03-08 23:22:51	Slovenia	16	0	0	16	0
20200309234747	2020-03-09 23:47:47	Slovenia	24	0	0	24	0
20200310233243	2020-03-10 23:32:43	Slovenia	34	0	0	34	0
20200311234701	2020-03-11 23:47:01	Slovenia	57	0	0	57	0
20200312233926	2020-03-12 23:39:26	Slovenia	96	0	0	96	0
20200313235940	2020-03-13 23:59:40	Slovenia	141	0	0	141	4
20200314235906	2020-03-14 23:59:06	Slovenia	181	1	0	180	3
20200315231920	2020-03-15 23:19:20	Slovenia	219	1	0	218	3
20200316232604	2020-03-16 23:26:04	Slovenia	253	1	0	252	3
20200317234753	2020-03-17 23:47:53	Slovenia	275	1	0	274	4
20200318234401	2020-03-18 23:44:01	Slovenia	275	1	0	274	4
20200319131523	2020-03-19 13:15:23	Slovenia	286	1	0	285	6
20200320120009	2020-03-20 12:00:09	Slovenia	319	1	0	318	6
20200321120003	2020-03-21 12:00:03	Slovenia	341	1	0	340	9
20200322120004	2020-03-22 12:00:04	Slovenia	383	1	0	382	12
20200323120003	2020-03-23 12:00:03	Slovenia	414	2	0	412	12
20200324120004	2020-03-24 12:00:04	Slovenia	442	3	0	439	12
20200325120004	2020-03-25 12:00:04	Slovenia	480	4	3	473	12
20200326120004	2020-03-26 12:00:04	Slovenia	528	5	10	513	14
20200327120003	2020-03-27 12:00:03	Slovenia	562	6	10	546	14
20200328000003	2020-03-28 00:00:03	Slovenia	562	6	10	546	14
20200330165358	2020-03-30 16:53:58	Slovenia	730	11	10	709	23
20200331120003	2020-03-31 12:00:03	Slovenia	756	11	10	735	28
20200401120003	2020-04-01 12:00:03	Slovenia	802	15	10	777	24
20200402120004	2020-04-02 12:00:04	Slovenia	841	15	10	816	31
20200403120003	2020-04-03 12:00:03	Slovenia	897	17	70	810	31
20200404120004	2020-04-04 12:00:04	Slovenia	934	20	70	844	31
20200405120003	2020-04-05 12:00:03	Slovenia	977	22	79	876	31
20200406120003	2020-04-06 12:00:03	Slovenia	997	28	79	890	31
