timestamp	datetime	country	TotalCases	TotalDeaths	TotalRecovered	TotalActive	TotalSerious
20200225235434	2020-02-25 23:54:34	Switzerland	1	0	0		0
20200226234848	2020-02-26 23:48:48	Switzerland	1	0	0		0
20200227234720	2020-02-27 23:47:20	Switzerland	8	0	0		0
20200228231028	2020-02-28 23:10:28	Switzerland	15	0	0		0
20200229235144	2020-02-29 23:51:44	Switzerland	19	0	0	19	0
20200301234648	2020-03-01 23:46:48	Switzerland	24	0	1	23	0
20200302224751	2020-03-02 22:47:51	Switzerland	24	0	1	23	0
20200303231332	2020-03-03 23:13:32	Switzerland	58	0	2	56	0
20200304230748	2020-03-04 23:07:48	Switzerland	93	0	3	90	0
20200305224916	2020-03-05 22:49:16	Switzerland	118	1	3	114	0
20200306224331	2020-03-06 22:43:31	Switzerland	214	1	3	210	0
20200307225610	2020-03-07 22:56:10	Switzerland	268	1	3	264	0
20200308232251	2020-03-08 23:22:51	Switzerland	337	2	3	332	0
20200309234747	2020-03-09 23:47:47	Switzerland	374	2	3	369	0
20200310233243	2020-03-10 23:32:43	Switzerland	497	3	3	491	0
20200311234701	2020-03-11 23:47:01	Switzerland	652	4	4	644	0
20200312233926	2020-03-12 23:39:26	Switzerland	868	7	4	857	0
20200313235940	2020-03-13 23:59:40	Switzerland	1139	11	4	1124	0
20200314235906	2020-03-14 23:59:06	Switzerland	1375	13	4	1358	0
20200315231920	2020-03-15 23:19:20	Switzerland	2217	14	4	2199	0
20200316232604	2020-03-16 23:26:04	Switzerland	2353	19	4	2330	0
20200317234753	2020-03-17 23:47:53	Switzerland	2742	27	15	2700	0
20200318234401	2020-03-18 23:44:01	Switzerland	2742	27	15	2700	0
20200319131523	2020-03-19 13:15:23	Switzerland	3115	33	15	3067	0
20200320120009	2020-03-20 12:00:09	Switzerland	4222	43	15	4164	0
20200321120003	2020-03-21 12:00:03	Switzerland	5615	56	15	5544	141
20200322120004	2020-03-22 12:00:04	Switzerland	6863	80	131	6652	141
20200323120003	2020-03-23 12:00:03	Switzerland	7474	98	131	7245	141
20200324120004	2020-03-24 12:00:04	Switzerland	8795	120	131	8544	141
