timestamp	datetime	country	TotalCases	TotalDeaths	TotalRecovered	TotalActive	TotalSerious
20200306224331	2020-03-06 22:43:31	Togo	1	0	0	1	0
20200307225610	2020-03-07 22:56:10	Togo	1	0	0	1	0
20200308232251	2020-03-08 23:22:51	Togo	1	0	0	1	0
20200309234747	2020-03-09 23:47:47	Togo	1	0	0	1	0
20200310233243	2020-03-10 23:32:43	Togo	1	0	0	1	0
20200311234701	2020-03-11 23:47:01	Togo	1	0	0	1	0
20200312233926	2020-03-12 23:39:26	Togo	1	0	0	1	0
20200313235940	2020-03-13 23:59:40	Togo	1	0	0	1	0
20200314235906	2020-03-14 23:59:06	Togo	1	0	0	1	0
20200315231920	2020-03-15 23:19:20	Togo	1	0	0	1	0
20200316232604	2020-03-16 23:26:04	Togo	1	0	0	1	0
20200317234753	2020-03-17 23:47:53	Togo	1	0	0	1	0
20200318234401	2020-03-18 23:44:01	Togo	1	0	0	1	0
20200319131523	2020-03-19 13:15:23	Togo	1	0	0	1	0
20200320120009	2020-03-20 12:00:09	Togo	1	0	0	1	0
20200321120003	2020-03-21 12:00:03	Togo	9	0	0	9	0
20200322120004	2020-03-22 12:00:04	Togo	16	0	0	16	0
20200323120003	2020-03-23 12:00:03	Togo	16	0	0	16	0
20200324120004	2020-03-24 12:00:04	Togo	18	0	0	18	0
20200325120004	2020-03-25 12:00:04	Togo	20	0	1	19	0
20200326120004	2020-03-26 12:00:04	Togo	23	0	1	22	0
20200327120003	2020-03-27 12:00:03	Togo	24	0	1	23	0
20200328000003	2020-03-28 00:00:03	Togo	24	0	1	23	0
20200330165358	2020-03-30 16:53:58	Togo	25	1	1	23	0
20200331120003	2020-03-31 12:00:03	Togo	30	1	1	28	0
20200401120003	2020-04-01 12:00:03	Togo	34	1	10	23	0
20200402120004	2020-04-02 12:00:04	Togo	36	2	10	24	0
