timestamp	datetime	country	TotalCases	TotalDeaths	TotalRecovered	TotalActive	TotalSerious
20200324120004	2020-03-24 12:00:04	Turks and Caicos	1	0	0	1	0
20200325120004	2020-03-25 12:00:04	Turks and Caicos	1	0	0	1	0
20200326120004	2020-03-26 12:00:04	Turks and Caicos	1	0	0	1	0
20200327120003	2020-03-27 12:00:03	Turks and Caicos	2	0	0	2	0
20200328000003	2020-03-28 00:00:03	Turks and Caicos	2	0	0	2	0
20200330165358	2020-03-30 16:53:58	Turks and Caicos	4	0	0	4	0
20200331120003	2020-03-31 12:00:03	Turks and Caicos	5	0	0	5	0
20200401120003	2020-04-01 12:00:03	Turks and Caicos	5	0	0	5	0
20200402120004	2020-04-02 12:00:04	Turks and Caicos	6	0	0	6	0
20200403120003	2020-04-03 12:00:03	Turks and Caicos	5	0	0	5	0
20200404120004	2020-04-04 12:00:04	Turks and Caicos	5	0	0	5	0
20200405120003	2020-04-05 12:00:03	Turks and Caicos	5	0	0	5	0
20200406120003	2020-04-06 12:00:03	Turks and Caicos	5	1	0	4	0
