timestamp	datetime	country	TotalCases	TotalDeaths	TotalRecovered	TotalActive	TotalSerious
20200131214927	2020-01-31 21:49:27	UK	2	0			
20200201155449	2020-02-01 15:54:49	UK	2	0			
20200202162745	2020-02-02 16:27:45	UK	2	0			
20200203164423	2020-02-03 16:44:23	UK	2	0	0		0
20200204230701	2020-02-04 23:07:01	UK	2	0	0		0
20200205184441	2020-02-05 18:44:41	UK	2	0	0		0
20200206231855	2020-02-06 23:18:55	UK	3	0	0		0
20200207180939	2020-02-07 18:09:39	UK	3	0	0		0
20200208224247	2020-02-08 22:42:47	UK	3	0	0		0
20200210194000	2020-02-10 19:40:00	UK	8	0	0		0
20200211210512	2020-02-11 21:05:12	UK	8	0	1		0
20200212102815	2020-02-12 10:28:15	UK	8	0	1		0
20200213195411	2020-02-13 19:54:11	UK	9	0	1		0
20200214232753	2020-02-14 23:27:53	UK	9	0	1		0
20200215063649	2020-02-15 06:36:49	UK	9	0	1		0
20200216230426	2020-02-16 23:04:26	UK	9	0	8		0
20200217113920	2020-02-17 11:39:20	UK	9	0	8		0
20200218164329	2020-02-18 16:43:29	UK	9	0	8		0
20200219180116	2020-02-19 18:01:16	UK	9	0	8		0
20200220220812	2020-02-20 22:08:12	UK	9	0	8		0
20200221233317	2020-02-21 23:33:17	UK	9	0	8		0
20200222234612	2020-02-22 23:46:12	UK	9	0	8		0
20200223235611	2020-02-23 23:56:11	UK	13	0	8		0
20200224234216	2020-02-24 23:42:16	UK	13	0	8		0
20200225235434	2020-02-25 23:54:34	UK	13	0	8		0
20200226234848	2020-02-26 23:48:48	UK	13	0	8		0
20200227234720	2020-02-27 23:47:20	UK	16	0	8		0
20200228231028	2020-02-28 23:10:28	UK	20	0	8		0
20200229235144	2020-02-29 23:51:44	UK	23	0	8	15	0
20200301234648	2020-03-01 23:46:48	UK	36	0	8	28	0
20200302224751	2020-03-02 22:47:51	UK	40	0	8	32	0
20200303231332	2020-03-03 23:13:32	UK	51	0	8	43	0
20200304230748	2020-03-04 23:07:48	UK	87	0	8	79	0
20200305224916	2020-03-05 22:49:16	UK	116	1	18	97	0
20200306224331	2020-03-06 22:43:31	UK	164	2	18	144	0
20200307225610	2020-03-07 22:56:10	UK	209	2	18	189	0
20200308232251	2020-03-08 23:22:51	UK	273	3	18	252	0
20200309234747	2020-03-09 23:47:47	UK	321	5	18	298	0
20200310233243	2020-03-10 23:32:43	UK	383	6	18	359	0
20200311234701	2020-03-11 23:47:01	UK	456	8	18	430	0
20200312233926	2020-03-12 23:39:26	UK	590	10	18	562	20
20200313235940	2020-03-13 23:59:40	UK	798	11	18	769	20
20200314235906	2020-03-14 23:59:06	UK	1140	21	18	1101	20
20200315231920	2020-03-15 23:19:20	UK	1391	35	20	1336	20
20200316232604	2020-03-16 23:26:04	UK	1543	55	52	1436	20
20200317234753	2020-03-17 23:47:53	UK	1950	71	65	1814	20
20200318234401	2020-03-18 23:44:01	UK	1950	71	65	1814	20
20200319131523	2020-03-19 13:15:23	UK	2626	104	65	2457	20
20200320120009	2020-03-20 12:00:09	UK	3269	144	65	3060	20
20200321120003	2020-03-21 12:00:03	UK	3983	177	65	3741	20
20200322120004	2020-03-22 12:00:04	UK	5018	233	93	4692	20
20200323120003	2020-03-23 12:00:03	UK	5683	281	93	5309	20
20200324120004	2020-03-24 12:00:04	UK	6650	335	135	6180	20
20200325120004	2020-03-25 12:00:04	UK	8077	422	135	7520	20
20200326120004	2020-03-26 12:00:04	UK	9529	465	135	8929	163
20200327120003	2020-03-27 12:00:03	UK	11658	578	135	10945	163
20200328000003	2020-03-28 00:00:03	UK	11658	578	135	10945	163
20200330165358	2020-03-30 16:53:58	UK	19522	1228	135	18159	163
20200331120003	2020-03-31 12:00:03	UK	22141	1408	135	20598	163
20200401120003	2020-04-01 12:00:03	UK	25150	1789	135	23226	163
20200402120004	2020-04-02 12:00:04	UK	29474	2352	135	26987	163
