timestamp	datetime	country	TotalCases	TotalDeaths	TotalRecovered	TotalActive	TotalSerious
20200129195657	2020-01-29 19:56:57	USA	5	0			
20200130193726	2020-01-30 19:37:26	USA	6	0			
20200131214927	2020-01-31 21:49:27	USA	7	0			
20200201155449	2020-02-01 15:54:49	USA	7	0			
20200202162745	2020-02-02 16:27:45	USA	8	0			
20200203164423	2020-02-03 16:44:23	USA	11	0	0		0
20200204230701	2020-02-04 23:07:01	USA	11	0	0		0
20200205184441	2020-02-05 18:44:41	USA	11	0	0		0
20200206231855	2020-02-06 23:18:55	USA	12	0	1		0
20200207180939	2020-02-07 18:09:39	USA	12	0	1		0
20200208224247	2020-02-08 22:42:47	USA	12	0	3		0
20200210194000	2020-02-10 19:40:00	USA	12	0	3		0
20200211210512	2020-02-11 21:05:12	USA	13	0	3		0
20200212102815	2020-02-12 10:28:15	USA	13	0	3		0
20200213195411	2020-02-13 19:54:11	USA	15	0	3		0
20200214232753	2020-02-14 23:27:53	USA	15	0	3		0
20200215063649	2020-02-15 06:36:49	USA	15	0	3		0
20200216230426	2020-02-16 23:04:26	USA	15	0	3		0
20200217113920	2020-02-17 11:39:20	USA	15	0	3		0
20200218164329	2020-02-18 16:43:29	USA	15	0	3		0
20200219180116	2020-02-19 18:01:16	USA	15	0	3		0
20200220220812	2020-02-20 22:08:12	USA	15	0	3		0
20200221233317	2020-02-21 23:33:17	USA	35	0	6		0
20200222234612	2020-02-22 23:46:12	USA	35	0	6		0
20200223235611	2020-02-23 23:56:11	USA	35	0	7		0
20200224234216	2020-02-24 23:42:16	USA	53	0	5		0
20200225235434	2020-02-25 23:54:34	USA	57	0	6		0
20200226234848	2020-02-26 23:48:48	USA	60	0	6		0
20200227234720	2020-02-27 23:47:20	USA	60	0	6		0
20200228231028	2020-02-28 23:10:28	USA	63	0	6		1
20200229235144	2020-02-29 23:51:44	USA	68	1	7	60	1
20200301234648	2020-03-01 23:46:48	USA	75	1	9	65	4
20200302224751	2020-03-02 22:47:51	USA	99	6	9	84	7
20200303231332	2020-03-03 23:13:32	USA	118	9	9	100	7
20200304230748	2020-03-04 23:07:48	USA	154	11	9	134	8
20200305224916	2020-03-05 22:49:16	USA	213	12	9	192	8
20200306224331	2020-03-06 22:43:31	USA	272	15	15	242	8
20200307225610	2020-03-07 22:56:10	USA	410	19	15	376	8
20200308232251	2020-03-08 23:22:51	USA	534	21	15	498	8
20200309234747	2020-03-09 23:47:47	USA	624	26	15	583	8
20200310233243	2020-03-10 23:32:43	USA	975	30	15	930	8
20200311234701	2020-03-11 23:47:01	USA	1301	38	15	1248	10
20200312233926	2020-03-12 23:39:26	USA	1686	40	30	1616	10
20200313235940	2020-03-13 23:59:40	USA	2269	48	41	2180	10
20200314235906	2020-03-14 23:59:06	USA	2836	57	49	2730	10
20200315231920	2020-03-15 23:19:20	USA	3666	68	59	3539	10
20200316232604	2020-03-16 23:26:04	USA	4652	86	74	4492	12
20200317234753	2020-03-17 23:47:53	USA	6439	109	106	6224	12
20200318234401	2020-03-18 23:44:01	USA	6411	109	106	6196	12
20200319131523	2020-03-19 13:15:23	USA	9259	150	106	9003	64
20200320120009	2020-03-20 12:00:09	USA	13789	207	108	13474	64
20200321120003	2020-03-21 12:00:03	USA	19383	256	147	18980	64
20200322120004	2020-03-22 12:00:04	USA	24207	302	176	23729	637
20200323120003	2020-03-23 12:00:03	USA	33546	419	178	32949	795
20200324120004	2020-03-24 12:00:04	USA	43734	553	295	42886	1040
