timestamp	datetime	country	TotalCases	TotalDeaths	TotalRecovered	TotalActive	TotalSerious
20200303231332	2020-03-03 23:13:32	Ukraine	1	0	0	1	0
20200304230748	2020-03-04 23:07:48	Ukraine	1	0	0	1	0
20200305224916	2020-03-05 22:49:16	Ukraine	1	0	0	1	0
20200306224331	2020-03-06 22:43:31	Ukraine	1	0	0	1	0
20200307225610	2020-03-07 22:56:10	Ukraine	1	0	0	1	0
20200308232251	2020-03-08 23:22:51	Ukraine	1	0	0	1	0
20200309234747	2020-03-09 23:47:47	Ukraine	1	0	0	1	0
20200310233243	2020-03-10 23:32:43	Ukraine	1	0	0	1	0
20200311234701	2020-03-11 23:47:01	Ukraine	1	0	0	1	0
20200312233926	2020-03-12 23:39:26	Ukraine	3	0	0	3	0
20200313235940	2020-03-13 23:59:40	Ukraine	3	1	0	2	0
20200314235906	2020-03-14 23:59:06	Ukraine	3	1	0	2	0
20200315231920	2020-03-15 23:19:20	Ukraine	3	1	0	2	0
20200316232604	2020-03-16 23:26:04	Ukraine	7	1	0	6	0
20200317234753	2020-03-17 23:47:53	Ukraine	14	2	0	12	0
20200318234401	2020-03-18 23:44:01	Ukraine	14	2	0	12	0
20200319131523	2020-03-19 13:15:23	Ukraine	16	2	0	14	0
20200320120009	2020-03-20 12:00:09	Ukraine	26	3	0	23	0
20200321120003	2020-03-21 12:00:03	Ukraine	41	3	1	37	0
20200322120004	2020-03-22 12:00:04	Ukraine	47	3	1	43	0
20200323120003	2020-03-23 12:00:03	Ukraine	73	3	1	69	0
20200324120004	2020-03-24 12:00:04	Ukraine	73	3	1	69	0
20200325120004	2020-03-25 12:00:04	Ukraine	102	3	1	98	0
20200326120004	2020-03-26 12:00:04	Ukraine	145	5	1	139	0
20200327120003	2020-03-27 12:00:03	Ukraine	196	5	1	190	0
20200328000003	2020-03-28 00:00:03	Ukraine	196	5	1	190	0
20200330165358	2020-03-30 16:53:58	Ukraine	475	10	6	459	0
20200331120003	2020-03-31 12:00:03	Ukraine	548	13	8	527	0
20200401120003	2020-04-01 12:00:03	Ukraine	645	17	10	618	0
20200402120004	2020-04-02 12:00:04	Ukraine	794	20	13	761	0
20200403120003	2020-04-03 12:00:03	Ukraine	897	22	19	856	0
20200404120004	2020-04-04 12:00:04	Ukraine	1072	27	22	1023	16
20200405120003	2020-04-05 12:00:03	Ukraine	1225	32	25	1168	16
20200406120003	2020-04-06 12:00:03	Ukraine	1308	37	28	1243	16
