timestamp	datetime	country	TotalCases	TotalDeaths	TotalRecovered	TotalActive	TotalSerious
20200315231920	2020-03-15 23:19:20	Uzbekistan	4	0	0	4	0
20200316232604	2020-03-16 23:26:04	Uzbekistan	8	0	0	8	0
20200317234753	2020-03-17 23:47:53	Uzbekistan	11	0	0	11	0
20200318234401	2020-03-18 23:44:01	Uzbekistan	11	0	0	11	0
20200319131523	2020-03-19 13:15:23	Uzbekistan	18	0	0	18	0
20200320120009	2020-03-20 12:00:09	Uzbekistan	23	0	0	23	0
20200321120003	2020-03-21 12:00:03	Uzbekistan	33	0	0	33	0
20200322120004	2020-03-22 12:00:04	Uzbekistan	41	0	0	41	0
20200323120003	2020-03-23 12:00:03	Uzbekistan	43	0	0	43	0
20200324120004	2020-03-24 12:00:04	Uzbekistan	46	0	0	46	0
20200325120004	2020-03-25 12:00:04	Uzbekistan	50	0	0	50	0
20200326120004	2020-03-26 12:00:04	Uzbekistan	60	0	0	60	4
20200327120003	2020-03-27 12:00:03	Uzbekistan	75	0	0	75	4
20200328000003	2020-03-28 00:00:03	Uzbekistan	75	0	0	75	4
20200330165358	2020-03-30 16:53:58	Uzbekistan	144	2	7	135	8
20200331120003	2020-03-31 12:00:03	Uzbekistan	149	2	7	140	8
20200401120003	2020-04-01 12:00:03	Uzbekistan	172	2	7	163	8
20200402120004	2020-04-02 12:00:04	Uzbekistan	181	2	12	167	8
