timestamp	datetime	country	TotalCases	TotalDeaths	TotalRecovered	TotalActive	TotalSerious
20200129195657	2020-01-29 19:56:57	Vietnam	2	0			
20200130193726	2020-01-30 19:37:26	Vietnam	5	0			
20200131214927	2020-01-31 21:49:27	Vietnam	5	0			
20200201155449	2020-02-01 15:54:49	Vietnam	6	0			
20200202162745	2020-02-02 16:27:45	Vietnam	7	0			
20200203164423	2020-02-03 16:44:23	Vietnam	8	0	1		0
20200204230701	2020-02-04 23:07:01	Vietnam	10	0	3		0
20200205184441	2020-02-05 18:44:41	Vietnam	10	0	3		0
20200206231855	2020-02-06 23:18:55	Vietnam	12	0	3		0
20200207180939	2020-02-07 18:09:39	Vietnam	12	0	3		0
20200208224247	2020-02-08 22:42:47	Vietnam	13	0	3		0
20200210194000	2020-02-10 19:40:00	Vietnam	14	0	3		0
20200211210512	2020-02-11 21:05:12	Vietnam	15	0	6		0
20200212102815	2020-02-12 10:28:15	Vietnam	15	0	6		0
20200213195411	2020-02-13 19:54:11	Vietnam	16	0	7		0
20200214232753	2020-02-14 23:27:53	Vietnam	16	0	7		0
20200215063649	2020-02-15 06:36:49	Vietnam	16	0	7		0
20200216230426	2020-02-16 23:04:26	Vietnam	16	0	7		0
20200217113920	2020-02-17 11:39:20	Vietnam	16	0	7		0
20200218164329	2020-02-18 16:43:29	Vietnam	16	0	7		0
20200219180116	2020-02-19 18:01:16	Vietnam	16	0	14		0
20200220220812	2020-02-20 22:08:12	Vietnam	16	0	14		0
20200221233317	2020-02-21 23:33:17	Vietnam	16	0	15		0
20200222234612	2020-02-22 23:46:12	Vietnam	16	0	15		0
20200223235611	2020-02-23 23:56:11	Vietnam	16	0	15		0
20200224234216	2020-02-24 23:42:16	Vietnam	16	0	15		0
20200225235434	2020-02-25 23:54:34	Vietnam	16	0	16		0
20200226234848	2020-02-26 23:48:48	Vietnam	16	0	16		0
20200227234720	2020-02-27 23:47:20	Vietnam	16	0	16		0
20200228231028	2020-02-28 23:10:28	Vietnam	16	0	16		0
20200229235144	2020-02-29 23:51:44	Vietnam	16	0	16	0	0
20200301234648	2020-03-01 23:46:48	Vietnam	16	0	16	0	0
20200302224751	2020-03-02 22:47:51	Vietnam	16	0	16	0	0
20200303231332	2020-03-03 23:13:32	Vietnam	16	0	16	0	0
20200304230748	2020-03-04 23:07:48	Vietnam	16	0	16	0	0
20200305224916	2020-03-05 22:49:16	Vietnam	16	0	16	0	0
20200306224331	2020-03-06 22:43:31	Vietnam	17	0	16	1	0
20200307225610	2020-03-07 22:56:10	Vietnam	20	0	16	4	0
20200308232251	2020-03-08 23:22:51	Vietnam	30	0	16	14	0
20200309234747	2020-03-09 23:47:47	Vietnam	31	0	16	15	0
20200310233243	2020-03-10 23:32:43	Vietnam	34	0	16	18	0
20200311234701	2020-03-11 23:47:01	Vietnam	38	0	16	22	0
20200312233926	2020-03-12 23:39:26	Vietnam	39	0	16	23	0
20200313235940	2020-03-13 23:59:40	Vietnam	44	0	16	28	0
20200314235906	2020-03-14 23:59:06	Vietnam	53	0	16	37	0
20200315231920	2020-03-15 23:19:20	Vietnam	56	0	16	40	0
20200316232604	2020-03-16 23:26:04	Vietnam	61	0	16	45	0
20200317234753	2020-03-17 23:47:53	Vietnam	66	0	16	50	0
20200318234401	2020-03-18 23:44:01	Vietnam	66	0	16	50	0
20200319131523	2020-03-19 13:15:23	Vietnam	76	0	16	60	0
20200320120009	2020-03-20 12:00:09	Vietnam	85	0	16	69	0
20200321120003	2020-03-21 12:00:03	Vietnam	91	0	17	74	0
20200322120004	2020-03-22 12:00:04	Vietnam	94	0	17	77	2
20200323120003	2020-03-23 12:00:03	Vietnam	113	0	17	96	2
20200324120004	2020-03-24 12:00:04	Vietnam	123	0	17	106	2
20200325120004	2020-03-25 12:00:04	Vietnam	134	0	17	117	3
20200326120004	2020-03-26 12:00:04	Vietnam	148	0	17	131	3
20200327120003	2020-03-27 12:00:03	Vietnam	153	0	20	133	3
20200328000003	2020-03-28 00:00:03	Vietnam	153	0	20	133	3
20200330165358	2020-03-30 16:53:58	Vietnam	194	0	25	169	3
