timestamp	datetime	country	TotalCases	TotalDeaths	TotalRecovered	TotalActive	TotalSerious
20200319131523	2020-03-19 13:15:23	Zambia	2	0	0	2	0
20200320120009	2020-03-20 12:00:09	Zambia	2	0	0	2	0
20200321120003	2020-03-21 12:00:03	Zambia	2	0	0	2	0
20200322120004	2020-03-22 12:00:04	Zambia	2	0	0	2	0
20200323120003	2020-03-23 12:00:03	Zambia	3	0	0	3	0
20200324120004	2020-03-24 12:00:04	Zambia	3	0	0	3	0
20200325120004	2020-03-25 12:00:04	Zambia	3	0	0	3	0
20200326120004	2020-03-26 12:00:04	Zambia	12	0	0	12	0
20200327120003	2020-03-27 12:00:03	Zambia	16	0	0	16	0
20200328000003	2020-03-28 00:00:03	Zambia	16	0	0	16	0
20200330165358	2020-03-30 16:53:58	Zambia	29	0	0	29	0
